"WBXP043.Code.or.Value","WBXP043.Value.Description","WBXP043.Count","WBXP043.Cumulative","WBXP043.Skip.to.Item"
"-165.6339 to 150.0542","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
