"RFXC024.Code.or.Value","RFXC024.Value.Description","RFXC024.Count","RFXC024.Cumulative","RFXC024.Skip.to.Item"
"-8.123 to 5.384","Range of Values",33710,33710,NA
".","Missing",11,33721,NA
