"SMD090.Code.or.Value","SMD090.Value.Description","SMD090.Count","SMD090.Cumulative","SMD090.Skip.to.Item"
"1 to 90","Range of Values",1171,1171,NA
"777","Refused",0,1171,NA
"999","Don't know",0,1171,NA
".","Missing",4240,5411,NA
