"WBXF015.Code.or.Value","WBXF015.Value.Description","WBXF015.Count","WBXF015.Cumulative","WBXF015.Skip.to.Item"
"545.2539 to 545.2539","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
