"WTSHM21.Code.or.Value","WTSHM21.Value.Description","WTSHM21.Count","WTSHM21.Cumulative","WTSHM21.Skip.to.Item"
"0.0000000 to 753259.4428400","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
