"PAXTMH.Code.or.Value","PAXTMH.Value.Description","PAXTMH.Count","PAXTMH.Cumulative","PAXTMH.Skip.to.Item"
"1 to 60","Range of Values",1477045,1477045,NA
".","Missing",0,1477045,NA
