"WBXF098.Code.or.Value","WBXF098.Value.Description","WBXF098.Count","WBXF098.Cumulative","WBXF098.Skip.to.Item"
"6168.8433 to 6168.8433","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
