"LBXV2A.Code.or.Value","LBXV2A.Value.Description","LBXV2A.Count","LBXV2A.Cumulative","LBXV2A.Skip.to.Item"
"0.007 to 0.068","Range of Values",2865,2865,NA
".","Missing",307,3172,NA
