"BIXS012K.Code.or.Value","BIXS012K.Value.Description","BIXS012K.Count","BIXS012K.Cumulative","BIXS012K.Skip.to.Item"
"366.67 to 975.49","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
