"WTMREP16.Code.or.Value","WTMREP16.Value.Description","WTMREP16.Count","WTMREP16.Cumulative","WTMREP16.Skip.to.Item"
"0 to 265140.60417","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
