"BAXPFC31.Code.or.Value","BAXPFC31.Value.Description","BAXPFC31.Count","BAXPFC31.Cumulative","BAXPFC31.Skip.to.Item"
"1","Pass",2277,2277,"BAXPFC41"
"2","Dnp(did not pass)",94,2371,""
".","Missing",715,3086,""
