"DEX6HDCF.Code.or.Value","DEX6HDCF.Value.Description","DEX6HDCF.Count","DEX6HDCF.Cumulative","DEX6HDCF.Skip.to.Item"
"1","High",0,0,NA
"2","Moderate",9,9,NA
"3","Low",13,22,NA
"9","Not determined, picture missing",0,22,NA
".","Missing",2970,2992,NA
