"MCQ370c.Code.or.Value","MCQ370c.Value.Description","MCQ370c.Count","MCQ370c.Cumulative","MCQ370c.Skip.to.Item"
"1","Yes",3180,3180,NA
"2","No",3141,6321,NA
"7","Refused",0,6321,NA
"9","Don't know",6,6327,NA
".","Missing",3248,9575,NA
