"LBDSF3LC.Code.or.Value","LBDSF3LC.Value.Description","LBDSF3LC.Count","LBDSF3LC.Cumulative","LBDSF3LC.Skip.to.Item"
"0","At or above the detection limit",42,42,NA
"1","Below lower detection limit",4529,4571,NA
".","Missing",521,5092,NA
