"OPDDNOT.Code.or.Value","OPDDNOT.Value.Description","OPDDNOT.Count","OPDDNOT.Cumulative","OPDDNOT.Skip.to.Item"
"0","None",387,387,NA
"1","Inferior",13,400,NA
"2","Superior",6,406,NA
"3","Both",6,412,NA
"4","Ungradable",6,418,NA
".","Missing",3445,3863,NA
