"AUXU2KR.Code.or.Value","AUXU2KR.Value.Description","AUXU2KR.Count","AUXU2KR.Cumulative","AUXU2KR.Skip.to.Item"
"-10 to 110","Range of Values",2773,2773,NA
"666","No response",4,2777,NA
"888","Could not obtain",104,2881,NA
".","Missing",250,3131,NA
