"AUDTYL33.Code.or.Value","AUDTYL33.Value.Description","AUDTYL33.Count","AUDTYL33.Cumulative","AUDTYL33.Skip.to.Item"
"0 to 2.88","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
