"SSCYA.Code.or.Value","SSCYA.Value.Description","SSCYA.Count","SSCYA.Cumulative","SSCYA.Skip.to.Item"
"0.067034 to 294.910882","Range of Values",444,444,NA
".","Missing",40,484,NA
