"WTIREP35.Code.or.Value","WTIREP35.Value.Description","WTIREP35.Count","WTIREP35.Cumulative","WTIREP35.Skip.to.Item"
"0 to 232641.61455","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
