"OPDDAREX.Code.or.Value","OPDDAREX.Value.Description","OPDDAREX.Count","OPDDAREX.Cumulative","OPDDAREX.Skip.to.Item"
"0","No",3123,3123,NA
"1","Yes",62,3185,NA
".","Missing",678,3863,NA
