"PAQ655.Code.or.Value","PAQ655.Value.Description","PAQ655.Count","PAQ655.Cumulative","PAQ655.Skip.to.Item"
"1 to 7","Range of Values",1433,1433,""
"77","Refused",0,1433,"PAQ665"
"99","Don't know",1,1434,"PAQ665"
".","Missing",4422,5856,""
