"URXSISM.Code.or.Value","URXSISM.Value.Description","URXSISM.Count","URXSISM.Cumulative","URXSISM.Skip.to.Item"
"0.0707 to 3.27","Range of Values",2480,2480,NA
".","Missing",214,2694,NA
