"WTSPP03.Code.or.Value","WTSPP03.Value.Description","WTSPP03.Count","WTSPP03.Cumulative","WTSPP03.Skip.to.Item"
"0 to 836447.03376","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
