"RIDEXAGM.Code.or.Value","RIDEXAGM.Value.Description","RIDEXAGM.Count","RIDEXAGM.Cumulative","RIDEXAGM.Skip.to.Item"
"0 to 239","Range of Values",3433,3433,NA
".","Missing",5821,9254,NA
