"DXXTATA.Code.or.Value","DXXTATA.Value.Description","DXXTATA.Count","DXXTATA.Cumulative","DXXTATA.Skip.to.Item"
"43.7 to 1197.34","Range of Values",4055,4055,NA
".","Missing",1059,5114,NA
