"VTQ060.Code.or.Value","VTQ060.Value.Description","VTQ060.Count","VTQ060.Cumulative","VTQ060.Skip.to.Item"
"1","Natural gas",317,317,NA
"2","Electricity",313,630,NA
"3","Something else",19,649,NA
"7","Refused",1,650,NA
"9","Don't know",0,650,NA
".","Missing",201,851,NA
