"SSAR1_N.Code.or.Value","SSAR1_N.Value.Description","SSAR1_N.Count","SSAR1_N.Cumulative","SSAR1_N.Skip.to.Item"
"6.25 to 83.7","Range of Values",1712,1712,NA
".","Missing",66,1778,NA
