"WBXF084.Code.or.Value","WBXF084.Value.Description","WBXF084.Count","WBXF084.Cumulative","WBXF084.Skip.to.Item"
"4117.2089 to 4117.2089","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
