"PAQ759s.Code.or.Value","PAQ759s.Value.Description","PAQ759s.Count","PAQ759s.Cumulative","PAQ759s.Skip.to.Item"
"19","RUNNING",163,163,NA
".","Missing",9092,9255,NA
