"LBXS18MK.Code.or.Value","LBXS18MK.Value.Description","LBXS18MK.Count","LBXS18MK.Cumulative","LBXS18MK.Skip.to.Item"
"1 to 2","Range of Values",3523,3523,NA
".","Missing",323,3846,NA
