"RFXT043.Code.or.Value","RFXT043.Value.Description","RFXT043.Count","RFXT043.Cumulative","RFXT043.Skip.to.Item"
"363 to 371","Range of Values",33703,33703,NA
".","Missing",18,33721,NA
