"DIQ300S.Code.or.Value","DIQ300S.Value.Description","DIQ300S.Count","DIQ300S.Cumulative","DIQ300S.Skip.to.Item"
"58 to 212","Range of Values",604,604,NA
"7777","Refused",4,608,NA
"9999","Don't know",276,884,NA
".","Missing",8013,8897,NA
