"CIQD099.Code.or.Value","CIQD099.Value.Description","CIQD099.Count","CIQD099.Cumulative","CIQD099.Skip.to.Item"
"0 to 265","Range of Values",99,99,NA
"777","Refuse",0,99,NA
"999","Don't know",4,103,NA
".","Missing",747,850,NA
