"LBXF08LA.Code.or.Value","LBXF08LA.Value.Description","LBXF08LA.Count","LBXF08LA.Cumulative","LBXF08LA.Skip.to.Item"
"0.8 to 367","Range of Values",1858,1858,NA
".","Missing",427,2285,NA
