"PFQ041.Code.or.Value","PFQ041.Value.Description","PFQ041.Count","PFQ041.Cumulative","PFQ041.Skip.to.Item"
"1","Yes",287,287,NA
"2","No",2275,2562,NA
"7","Refused",0,2562,NA
"9","Don't know",2,2564,NA
".","Missing",5857,8421,NA
