"OSQ030cd.Code.or.Value","OSQ030cd.Value.Description","OSQ030cd.Count","OSQ030cd.Cumulative","OSQ030cd.Skip.to.Item"
"72","72",1,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",5410,5411,NA
