"AUDTYR21.Code.or.Value","AUDTYR21.Value.Description","AUDTYR21.Count","AUDTYR21.Cumulative","AUDTYR21.Skip.to.Item"
"0 to 1.75","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
