"WTMREP48.Code.or.Value","WTMREP48.Value.Description","WTMREP48.Count","WTMREP48.Cumulative","WTMREP48.Skip.to.Item"
"0 to 261674.57726","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
