"CVDR1SY.Code.or.Value","CVDR1SY.Value.Description","CVDR1SY.Count","CVDR1SY.Cumulative","CVDR1SY.Skip.to.Item"
"65 to 266","Range of Values",2857,2857,NA
".","Missing",1806,4663,NA
