"DSQTSUGR.Code.or.Value","DSQTSUGR.Value.Description","DSQTSUGR.Count","DSQTSUGR.Cumulative","DSQTSUGR.Skip.to.Item"
"0.02 to 24","Range of Values",988,988,NA
".","Missing",8266,9254,NA
