"DXXRLA.Code.or.Value","DXXRLA.Value.Description","DXXRLA.Count","DXXRLA.Cumulative","DXXRLA.Skip.to.Item"
"61.62 to 526.94","Range of Values",3988,3988,NA
".","Missing",1126,5114,NA
