"VIXKRCG.Code.or.Value","VIXKRCG.Value.Description","VIXKRCG.Count","VIXKRCG.Cumulative","VIXKRCG.Skip.to.Item"
"0 to 179","Range of Values",6432,6432,NA
"888","Could not obtain",72,6504,NA
".","Missing",413,6917,NA
