"URXUMN.Code.or.Value","URXUMN.Value.Description","URXUMN.Count","URXUMN.Cumulative","URXUMN.Skip.to.Item"
"0.092 to 10.87","Range of Values",2808,2808,NA
".","Missing",171,2979,NA
