"URDUCD.Code.or.Value","URDUCD.Value.Description","URDUCD.Count","URDUCD.Cumulative","URDUCD.Skip.to.Item"
"0 to 36.777475","Range of Values",2690,2690,NA
".","Missing",114,2804,NA
