"HUQ070.Code.or.Value","HUQ070.Value.Description","HUQ070.Count","HUQ070.Cumulative","HUQ070.Skip.to.Item"
"1","Yes",987,987,""
"2","No",8963,9950,"HUD080"
"7","Refused",1,9951,"HUD080"
"9","Don't know",9,9960,"HUD080"
".","Missing",5,9965,""
