"DUQ270U.Code.or.Value","DUQ270U.Value.Description","DUQ270U.Count","DUQ270U.Cumulative","DUQ270U.Skip.to.Item"
"1","Days",34,34,NA
"2","Weeks",24,58,NA
"3","Months",52,110,NA
"4","Years",367,477,NA
"7","Refused",0,477,NA
"9","Don't know",0,477,NA
".","Missing",4095,4572,NA
