"WTSAU30.Code.or.Value","WTSAU30.Value.Description","WTSAU30.Count","WTSAU30.Cumulative","WTSAU30.Skip.to.Item"
"0 to 476359.43654","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
