"TYXA201.Code.or.Value","TYXA201.Value.Description","TYXA201.Count","TYXA201.Cumulative","TYXA201.Skip.to.Item"
"0.09 to 5.607","Range of Values",354,354,NA
".","Missing",5231,5585,NA
