"WBXA016.Code.or.Value","WBXA016.Value.Description","WBXA016.Count","WBXA016.Cumulative","WBXA016.Skip.to.Item"
"-2.0173 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
