"DS2IFA.Code.or.Value","DS2IFA.Value.Description","DS2IFA.Count","DS2IFA.Cumulative","DS2IFA.Skip.to.Item"
"4 to 10000","Range of Values",1539,1539,NA
".","Missing",4237,5776,NA
