"MCQ520.Code.or.Value","MCQ520.Value.Description","MCQ520.Count","MCQ520.Cumulative","MCQ520.Skip.to.Item"
"1","Yes",1201,1201,""
"2","No",4363,5564,"MCQ550"
"7","Refused",0,5564,"MCQ550"
"9","Don't know",5,5569,"MCQ550"
".","Missing",3328,8897,""
