"URXUCR2.Code.or.Value","URXUCR2.Value.Description","URXUCR2.Count","URXUCR2.Cumulative","URXUCR2.Skip.to.Item"
"4 to 685","Range of Values",7361,7361,NA
".","Missing",1230,8591,NA
