"WTSPO36.Code.or.Value","WTSPO36.Value.Description","WTSPO36.Count","WTSPO36.Cumulative","WTSPO36.Skip.to.Item"
"0.0000000 to 852252.3306000","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
