"WTSHM42.Code.or.Value","WTSHM42.Value.Description","WTSHM42.Count","WTSHM42.Cumulative","WTSHM42.Skip.to.Item"
"0.0000000 to 769323.7345100","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
