"SDMVPSU.Code.or.Value","SDMVPSU.Value.Description","SDMVPSU.Count","SDMVPSU.Cumulative","SDMVPSU.Skip.to.Item"
"1 to 2","Range of Values",9254,9254,NA
".","Missing",0,9254,NA
