"CIQP38.Code.or.Value","CIQP38.Value.Description","CIQP38.Count","CIQP38.Cumulative","CIQP38.Skip.to.Item"
"0 to 200","Range of Values",19,19,NA
"900","900 +",0,19,NA
"7777","Refused",0,19,NA
"9999","Don't know",0,19,NA
".","Missing",831,850,NA
