"SSTOXG.Code.or.Value","SSTOXG.Value.Description","SSTOXG.Count","SSTOXG.Cumulative","SSTOXG.Skip.to.Item"
"0 to 239","Range of Values",6577,6577,NA
".","Missing",1,6578,NA
