"AGQ060.Code.or.Value","AGQ060.Value.Description","AGQ060.Count","AGQ060.Cumulative","AGQ060.Skip.to.Item"
"1","Yes",1704,1704,NA
"2","No",902,2606,NA
"7","Refused",0,2606,NA
"9","Don't know",8,2614,NA
".","Missing",7208,9822,NA
