"DSXBG2LD.Code.or.Value","DSXBG2LD.Value.Description","DSXBG2LD.Count","DSXBG2LD.Cumulative","DSXBG2LD.Skip.to.Item"
"9.8 to 9.8","Range of Values",5015,5015,NA
".","Missing",4425,9440,NA
