"PFD069H.Code.or.Value","PFD069H.Value.Description","PFD069H.Count","PFD069H.Cumulative","PFD069H.Skip.to.Item"
"152 to 28855","Range of Values",141,141,NA
"66666","Since birth",1,142,NA
"77777","Refused",1,143,NA
"99999","Don't know",2,145,NA
".","Missing",9521,9666,NA
