"LBDV3BLC.Code.or.Value","LBDV3BLC.Value.Description","LBDV3BLC.Count","LBDV3BLC.Cumulative","LBDV3BLC.Skip.to.Item"
"0","At or above detection limit",0,0,NA
"1","Below lower detection limit",2866,2866,NA
".","Missing",306,3172,NA
