"WBXA023.Code.or.Value","WBXA023.Value.Description","WBXA023.Count","WBXA023.Cumulative","WBXA023.Skip.to.Item"
"-3.5714 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
