"RFXC166.Code.or.Value","RFXC166.Value.Description","RFXC166.Count","RFXC166.Cumulative","RFXC166.Skip.to.Item"
"-0.931 to 1.55","Range of Values",33667,33667,NA
".","Missing",54,33721,NA
