"CSQ490.Code.or.Value","CSQ490.Value.Description","CSQ490.Count","CSQ490.Cumulative","CSQ490.Skip.to.Item"
"0 to 100","Range of Values",3411,3411,NA
".","Missing",297,3708,NA
